add 	0x00	0000	20
and	    0x00	0000	24	
div	    0x00	0000	1a	
jalr	0x00	0000	09	
jr  	0x00	0000	08	
mfhi	0x00	0000	10	
mflo	0x00	0000	12	
mthi	0x00	0000	11	
mtlo	0x00	0000	13	
mult	0x00	0000	18	
nor 	0x00	0000	27	
or  	0x00	0000	25	
rem 	0x00	0000	1a	
sll 	0x00	0000	00	
sllv	0x00	0000	04	
slt 	0x00	0000	2a	
sra 	0x00	0000	03	
srl 	0x00	0000	02	
srlv	0x00	0000	06	
sub 	0x00	0000	22	
xor 	0x00	0000	26	

bgez	0x04	0100	00	
bgezal	0x04	1100	00	
bltz	0x04	0000	00	
bltzal	0x04	1000	00	

j   	0x08	0000	00	
jal 	0x0c	0000	00	
beq	    0x10	0000	00	
beqz	0x10	0000	00	
bne	    0x14	0000	00	
bnez	0x14	0000	00	
blez	0x18	0000	00	
bgtz	0x1c	0000	00	
addi	0x20	0000	00	
slti	0x28	0000	00	
andi	0x30	0000	00	
ori	    0x34	0000	00	
xori	0x38	0000	00	
lui	    0x3c	0000	00	
lb	    0x80	0000	00	
lh	    0x84	0000	00	
lwl	    0x88	0000	00	
lw	    0x8c	0000	00	
lbu	    0x90	0000	00	
lhu	    0x94	0000	00	
lwr	    0x98	0000	00	
sb	    0xa0	0000	00	
sh	    0xa4	0000	00	
swl 	0xa8	0000	00	
sw  	0xac	0000	00	
swr 	0xb8	0000	00	
